,0
mean_submit_delay,0.154
n_submissions,0.07808
max_score,0.05437
D1_engagement,0.04836
mean_score,0.03877
median_score,0.0324
mean_score_TMA,0.03111
std_score,0.02007
mean_score_Exam,0.01727
D3_timeliness,0.01724
min_score,0.01504
mean_score_CMA,0.01035
D2_diversity,0.00884
MPI,0.00504
education_level,0.00332
imd_numeric,0.00243
studied_credits,0.00209
D4_persistence,0.00131
num_of_prev_attempts,0.00119
age_midpoint,0.00065
n_banked,0.00065
