,auc,n
4,0.678,28497.0
8,0.7831,28497.0
12,0.8316,28497.0
16,0.8709,28497.0
20,0.9065,28497.0
24,0.9304,28497.0
28,0.9414,28497.0
32,0.9557,28497.0
